EnergyDepositedInSi, SourceZ, SiAngleOffAxis, AbsorberThickness
83.2217,0,0,0
70.5221,0,0,0
80.5022,0,0,0
69.1664,0,0,0
127.725,0,0,0
123.035,0,0,0
70.8003,0,0,0
108.494,0,0,0
109.617,0,0,0
127.136,0,0,0
79.2909,0,0,0
84.5979,0,0,0
77.8787,0,0,0
270.864,0,0,0
84.0248,0,0,0
90.2285,0,0,0
87.4372,0,0,0
77.034,0,0,0
93.79,0,0,0
73.9279,0,0,0
82.058,0,0,0
103.957,0,0,0
75.9012,0,0,0
99.7309,0,0,0
98.1862,0,0,0
91.0745,0,0,0
82.496,0,0,0
100.2,0,0,0
145.571,0,0,0
109.37,0,0,0
93.7577,0,0,0
178.821,0,0,0
86.5652,0,0,0
157.98,0,0,0
65.9695,0,0,0
111.822,0,0,0
95.3117,0,0,0
83.6718,0,0,0
128.163,0,0,0
84.7644,0,0,0
77.9919,0,0,0
199.686,0,0,0
102.436,0,0,0
142.914,0,0,0
76.901,0,0,0
73.8891,0,0,0
87.5707,0,0,0
127.558,0,0,0
83.899,0,0,0
70.1232,0,0,0
278.182,0,0,0
76.1568,0,0,0
90.6288,0,0,0
112.497,0,0,0
80.8841,0,0,0
476.743,0,0,0
126.711,0,0,0
83.3891,0,0,0
80.2107,0,0,0
185.731,0,0,0
226.008,0,0,0
69.3048,0,0,0
78.1886,0,0,0
105.306,0,0,0
101.05,0,0,0
97.6344,0,0,0
137.717,0,0,0
67.6355,0,0,0
75.7617,0,0,0
110.017,0,0,0
126.386,0,0,0
69.542,0,0,0
97.6577,0,0,0
70.0074,0,0,0
205.632,0,0,0
84.1609,0,0,0
106.372,0,0,0
82.9197,0,0,0
94.4473,0,0,0
85.5601,0,0,0
116.602,0,0,0
96.7129,0,0,0
88.7532,0,0,0
77.4758,0,0,0
167.398,0,0,0
97.6451,0,0,0
93.5339,0,0,0
100.093,0,0,0
80.443,0,0,0
119.684,0,0,0
106.456,0,0,0
83.514,0,0,0
71.499,0,0,0
75.7666,0,0,0
75.4216,0,0,0
84.7851,0,0,0
72.9003,0,0,0
74.9906,0,0,0
112.47,0,0,0
80.3521,0,0,0
111.637,0,0,0
140.383,0,0,0
80.5459,0,0,0
136.643,0,0,0
76.5088,0,0,0
88.5652,0,0,0
78.1657,0,0,0
74.2971,0,0,0
92.3058,0,0,0
168.164,0,0,0
85.9429,0,0,0
83.0509,0,0,0
81.4891,0,0,0
80.4195,0,0,0
104.235,0,0,0
65.3808,0,0,0
123.125,0,0,0
90.3487,0,0,0
85.2041,0,0,0
93.1666,0,0,0
135.776,0,0,0
99.27,0,0,0
85.7088,0,0,0
75.9964,0,0,0
84.0713,0,0,0
70.017,0,0,0
126.561,0,0,0
72.4334,0,0,0
92.8436,0,0,0
93.0923,0,0,0
90.4937,0,0,0
87.0632,0,0,0
110.992,0,0,0
232.5,0,0,0
75.5544,0,0,0
81.5092,0,0,0
76.3116,0,0,0
92.9706,0,0,0
235.975,0,0,0
283.949,0,0,0
106.253,0,0,0
120.472,0,0,0
118.991,0,0,0
91.6489,0,0,0
82.3249,0,0,0
116.674,0,0,0
93.3783,0,0,0
77.3542,0,0,0
70.6292,0,0,0
85.6438,0,0,0
108.881,0,0,0
100.636,0,0,0
237.75,0,0,0
151.142,0,0,0
74.4111,0,0,0
86.4916,0,0,0
77.6577,0,0,0
96.3291,0,0,0
89.1534,0,0,0
170.47,0,0,0
96.8576,0,0,0
95.9007,0,0,0
69.4084,0,0,0
426.756,0,0,0
113.896,0,0,0
98.7304,0,0,0
78.4712,0,0,0
70.9621,0,0,0
150.442,0,0,0
86.4121,0,0,0
123.381,0,0,0
125.78,0,0,0
119.695,0,0,0
70.7029,0,0,0
70.2781,0,0,0
159.2,0,0,0
84.2236,0,0,0
95.6605,0,0,0
70.6334,0,0,0
118.568,0,0,0
98.5115,0,0,0
215.83,0,0,0
94.1956,0,0,0
169.559,0,0,0
96.0352,0,0,0
113.71,0,0,0
71.7198,0,0,0
93.2598,0,0,0
65.9096,0,0,0
73.7002,0,0,0
145.655,0,0,0
93.4144,0,0,0
84.7007,0,0,0
69.4482,0,0,0
141.708,0,0,0
107.55,0,0,0
118.194,0,0,0
106.048,0,0,0
92.762,0,0,0
98.2735,0,0,0
109.822,0,0,0
79.4787,0,0,0
102.144,0,0,0
82.3278,0,0,0
66.9447,0,0,0
136.763,0,0,0
94.1468,0,0,0
70.1382,0,0,0
105.044,0,0,0
200.056,0,0,0
83.5825,0,0,0
95.3229,0,0,0
84.9869,0,0,0
75.0218,0,0,0
103.277,0,0,0
87.4294,0,0,0
121.111,0,0,0
84.2712,0,0,0
93.9259,0,0,0
64.622,0,0,0
90.9971,0,0,0
86.1991,0,0,0
139.18,0,0,0
88.4963,0,0,0
92.8182,0,0,0
118.88,0,0,0
99.9229,0,0,0
75.0564,0,0,0
137.954,0,0,0
83.5865,0,0,0
96.3789,0,0,0
102.947,0,0,0
109.354,0,0,0
71.5871,0,0,0
119.02,0,0,0
94.4169,0,0,0
96.2423,0,0,0
102.814,0,0,0
86.8643,0,0,0
159.723,0,0,0
90.0101,0,0,0
103.873,0,0,0
93.1558,0,0,0
83.7623,0,0,0
127.218,0,0,0
111.692,0,0,0
69.2396,0,0,0
74.5321,0,0,0
75.9134,0,0,0
69.15,0,0,0
114.106,0,0,0
96.537,0,0,0
73.0626,0,0,0
93.3631,0,0,0
65.7857,0,0,0
131.007,0,0,0
90.2385,0,0,0
76.4197,0,0,0
77.7467,0,0,0
70.8313,0,0,0
251.931,0,0,0
87.0555,0,0,0
74.3346,0,0,0
85.0223,0,0,0
134.301,0,0,0
111.872,0,0,0
67.5145,0,0,0
107.185,0,0,0
83.0333,0,0,0
78.8875,0,0,0
84.0763,0,0,0
75.2539,0,0,0
70.4418,0,0,0
117.891,0,0,0
117.702,0,0,0
79.2834,0,0,0
165.541,0,0,0
91.8427,0,0,0
66.9459,0,0,0
95.0627,0,0,0
108.983,0,0,0
92.222,0,0,0
150.654,0,0,0
82.3866,0,0,0
81.0263,0,0,0
141.591,0,0,0
72.8256,0,0,0
81.9962,0,0,0
102.066,0,0,0
188.868,0,0,0
87.1384,0,0,0
87.3824,0,0,0
94.674,0,0,0
61.8969,0,0,0
85.2556,0,0,0
87.3091,0,0,0
70.503,0,0,0
116.854,0,0,0
124.313,0,0,0
223.358,0,0,0
132.424,0,0,0
91.8957,0,0,0
118.083,0,0,0
75.5154,0,0,0
75.6752,0,0,0
105.81,0,0,0
64.1368,0,0,0
82.8229,0,0,0
95.7969,0,0,0
69.258,0,0,0
87.7546,0,0,0
82.5276,0,0,0
130.007,0,0,0
84.7162,0,0,0
68.5993,0,0,0
87.5353,0,0,0
159.523,0,0,0
165.704,0,0,0
98.9702,0,0,0
182.885,0,0,0
93.0327,0,0,0
132.524,0,0,0
79.7826,0,0,0
446.529,0,0,0
102.387,0,0,0
86.2133,0,0,0
81.9842,0,0,0
68.2306,0,0,0
69.8973,0,0,0
82.346,0,0,0
81.4112,0,0,0
181.17,0,0,0
70.3156,0,0,0
102.023,0,0,0
112.081,0,0,0
75.2564,0,0,0
89.5646,0,0,0
97.2311,0,0,0
93.3029,0,0,0
94.4821,0,0,0
122.198,0,0,0
72.5445,0,0,0
103.775,0,0,0
105.794,0,0,0
84.6831,0,0,0
113.709,0,0,0
200.478,0,0,0
93.4222,0,0,0
316.967,0,0,0
153.302,0,0,0
86.7813,0,0,0
73.5399,0,0,0
77.2567,0,0,0
121.531,0,0,0
81.5935,0,0,0
137.284,0,0,0
198.952,0,0,0
115.888,0,0,0
88.6407,0,0,0
89.9615,0,0,0
155.988,0,0,0
102.908,0,0,0
76.9602,0,0,0
145.284,0,0,0
111.311,0,0,0
109.837,0,0,0
191.316,0,0,0
65.2923,0,0,0
82.4839,0,0,0
155.342,0,0,0
75.9649,0,0,0
88.8859,0,0,0
116.362,0,0,0
90.1866,0,0,0
78.1934,0,0,0
88.1083,0,0,0
132.384,0,0,0
84.396,0,0,0
402.926,0,0,0
64.7467,0,0,0
107.915,0,0,0
91.2983,0,0,0
826.74,0,0,0
87.6622,0,0,0
91.7012,0,0,0
78.4634,0,0,0
149.284,0,0,0
159.674,0,0,0
73.5998,0,0,0
74.89,0,0,0
88.4541,0,0,0
82.5258,0,0,0
81.6483,0,0,0
84.7392,0,0,0
101.723,0,0,0
99.3573,0,0,0
257.623,0,0,0
105.573,0,0,0
113.598,0,0,0
82.2228,0,0,0
79.4728,0,0,0
83.6375,0,0,0
81.6277,0,0,0
88.2681,0,0,0
88.1986,0,0,0
81.6309,0,0,0
111.449,0,0,0
86.6335,0,0,0
81.623,0,0,0
78.3615,0,0,0
134.027,0,0,0
90.4036,0,0,0
155.286,0,0,0
93.6802,0,0,0
163.618,0,0,0
94.8044,0,0,0
64.952,0,0,0
67.3262,0,0,0
90.0813,0,0,0
280.328,0,0,0
88.1367,0,0,0
80.5325,0,0,0
65.8288,0,0,0
112.172,0,0,0
100.921,0,0,0
77.6222,0,0,0
89.3586,0,0,0
295.804,0,0,0
115.063,0,0,0
86.0159,0,0,0
83.4612,0,0,0
83.1875,0,0,0
89.6919,0,0,0
116.934,0,0,0
88.7997,0,0,0
203.826,0,0,0
96.4394,0,0,0
68.8071,0,0,0
97.7577,0,0,0
151.795,0,0,0
121.875,0,0,0
105.903,0,0,0
65.1858,0,0,0
69.7875,0,0,0
81.6354,0,0,0
105.114,0,0,0
122.013,0,0,0
142.794,0,0,0
120.225,0,0,0
84.3454,0,0,0
181.984,0,0,0
79.0981,0,0,0
86.583,0,0,0
126.559,0,0,0
81.9306,0,0,0
75.276,0,0,0
91.2558,0,0,0
94.7317,0,0,0
107.564,0,0,0
74.4345,0,0,0
69.7252,0,0,0
163.256,0,0,0
92.959,0,0,0
79.3573,0,0,0
110.562,0,0,0
90.2782,0,0,0
101.867,0,0,0
98.5434,0,0,0
74.3708,0,0,0
77.475,0,0,0
125.263,0,0,0
84.23,0,0,0
124.549,0,0,0
104.761,0,0,0
73.7413,0,0,0
84.6932,0,0,0
81.212,0,0,0
77.5024,0,0,0
92.5714,0,0,0
68.5419,0,0,0
141.54,0,0,0
106.333,0,0,0
89.711,0,0,0
80.5067,0,0,0
132.665,0,0,0
102.036,0,0,0
99.7436,0,0,0
80.997,0,0,0
91.3013,0,0,0
96.936,0,0,0
103.206,0,0,0
94.8061,0,0,0
73.983,0,0,0
104.601,0,0,0
105.739,0,0,0
98.8568,0,0,0
86.9338,0,0,0
74.5158,0,0,0
74.7859,0,0,0
116.626,0,0,0
102.161,0,0,0
105.383,0,0,0
104.005,0,0,0
69.9534,0,0,0
79.4468,0,0,0
68.4858,0,0,0
60.5829,0,0,0
69.1509,0,0,0
118.115,0,0,0
69.1754,0,0,0
76.8146,0,0,0
77.0347,0,0,0
88.9733,0,0,0
86.2962,0,0,0
76.4506,0,0,0
132.868,0,0,0
77.8253,0,0,0
57.4432,0,0,0
75.8152,0,0,0
71.8621,0,0,0
78.4321,0,0,0
82.4348,0,0,0
91.5269,0,0,0
92.3738,0,0,0
107.265,0,0,0
154.042,0,0,0
83.2251,0,0,0
76.613,0,0,0
82.8979,0,0,0
102.028,0,0,0
86.7783,0,0,0
75.3206,0,0,0
80.886,0,0,0
86.409,0,0,0
94.6782,0,0,0
117.098,0,0,0
105.483,0,0,0
94.7852,0,0,0
87.1766,0,0,0
173.483,0,0,0
125.158,0,0,0
114.683,0,0,0
154.755,0,0,0
76.7832,0,0,0
78.7989,0,0,0
85.2469,0,0,0
294.347,0,0,0
75.2576,0,0,0
78.1514,0,0,0
109.442,0,0,0
77.2766,0,0,0
79.735,0,0,0
78.8221,0,0,0
130.687,0,0,0
73.2156,0,0,0
86.8217,0,0,0
90.5255,0,0,0
91.1287,0,0,0
105.545,0,0,0
169.837,0,0,0
86.7542,0,0,0
107.189,0,0,0
140.855,0,0,0
101.551,0,0,0
64.7786,0,0,0
65.7646,0,0,0
118.308,0,0,0
86.1392,0,0,0
65.9144,0,0,0
145.915,0,0,0
96.2348,0,0,0
68.1085,0,0,0
63.896,0,0,0
95.2523,0,0,0
79.6152,0,0,0
81.03,0,0,0
270.025,0,0,0
77.2061,0,0,0
89.2654,0,0,0
79.4623,0,0,0
79.006,0,0,0
190.074,0,0,0
104.864,0,0,0
80.4242,0,0,0
87.9069,0,0,0
74.6715,0,0,0
186.116,0,0,0
148.293,0,0,0
103.709,0,0,0
165.559,0,0,0
82.006,0,0,0
96.2151,0,0,0
91.3508,0,0,0
168.946,0,0,0
96.5875,0,0,0
117.434,0,0,0
87.4014,0,0,0
269.496,0,0,0
83.7973,0,0,0
88.3019,0,0,0
87.2833,0,0,0
94.9737,0,0,0
74.5316,0,0,0
96.9179,0,0,0
176.168,0,0,0
88.5672,0,0,0
81.5283,0,0,0
78.4475,0,0,0
72.204,0,0,0
100.622,0,0,0
98.0468,0,0,0
110.933,0,0,0
85.2435,0,0,0
123.002,0,0,0
119.558,0,0,0
87.9162,0,0,0
75.1164,0,0,0
84.6835,0,0,0
87.7928,0,0,0
88.0841,0,0,0
189.896,0,0,0
131.46,0,0,0
81.102,0,0,0
96.8691,0,0,0
101.69,0,0,0
110.808,0,0,0
81.7306,0,0,0
74.5629,0,0,0
129.659,0,0,0
83.3094,0,0,0
71.2815,0,0,0
87.4382,0,0,0
80.5137,0,0,0
76.7896,0,0,0
105.805,0,0,0
97.1334,0,0,0
225.488,0,0,0
85.1344,0,0,0
114.294,0,0,0
113.443,0,0,0
101.61,0,0,0
69.545,0,0,0
212.275,0,0,0
85.2498,0,0,0
67.8935,0,0,0
84.3879,0,0,0
108.445,0,0,0
65.1605,0,0,0
99.8962,0,0,0
143.035,0,0,0
77.6878,0,0,0
86.8837,0,0,0
84.8981,0,0,0
79.5124,0,0,0
76.1601,0,0,0
153.278,0,0,0
76.7169,0,0,0
65.4368,0,0,0
89.6421,0,0,0
101.582,0,0,0
130.442,0,0,0
142.737,0,0,0
75.4218,0,0,0
110.745,0,0,0
85.0081,0,0,0
68.9201,0,0,0
117.922,0,0,0
120.127,0,0,0
79.1637,0,0,0
85.1544,0,0,0
93.4154,0,0,0
243.032,0,0,0
168.169,0,0,0
93.5328,0,0,0
108.835,0,0,0
121.384,0,0,0
87.6241,0,0,0
77.6724,0,0,0
98.3844,0,0,0
73.3029,0,0,0
78.9312,0,0,0
75.8156,0,0,0
120.556,0,0,0
108.207,0,0,0
78.0152,0,0,0
71.8984,0,0,0
76.1676,0,0,0
87.2168,0,0,0
137.819,0,0,0
98.4429,0,0,0
92.0332,0,0,0
82.3556,0,0,0
81.9362,0,0,0
114.284,0,0,0
67.5665,0,0,0
73.2163,0,0,0
89.9985,0,0,0
108.39,0,0,0
83.4373,0,0,0
71.2971,0,0,0
97.5035,0,0,0
84.0823,0,0,0
84.7129,0,0,0
62.757,0,0,0
113.34,0,0,0
113.926,0,0,0
117.585,0,0,0
77.847,0,0,0
78.3248,0,0,0
62.8926,0,0,0
88.3895,0,0,0
86.1104,0,0,0
80.6835,0,0,0
84.2124,0,0,0
97.8561,0,0,0
96.5318,0,0,0
73.7761,0,0,0
108.243,0,0,0
76.3131,0,0,0
85.1824,0,0,0
83.6683,0,0,0
91.0451,0,0,0
88.8807,0,0,0
92.2196,0,0,0
166.755,0,0,0
92.8516,0,0,0
87.9126,0,0,0
106.422,0,0,0
77.9013,0,0,0
83.8226,0,0,0
77.6487,0,0,0
94.5859,0,0,0
122.653,0,0,0
94.6859,0,0,0
144.453,0,0,0
93.6577,0,0,0
89.8798,0,0,0
80.3148,0,0,0
126.377,0,0,0
86.9696,0,0,0
81.4279,0,0,0
191.339,0,0,0
75.2651,0,0,0
169.694,0,0,0
91.5231,0,0,0
85.0316,0,0,0
87.1083,0,0,0
107.623,0,0,0
80.5518,0,0,0
83.5145,0,0,0
149.648,0,0,0
93.6909,0,0,0
226.139,0,0,0
122.83,0,0,0
166.175,0,0,0
75.85,0,0,0
240.093,0,0,0
80.0071,0,0,0
78.6598,0,0,0
118.119,0,0,0
82.7281,0,0,0
157.085,0,0,0
82.0684,0,0,0
87.7052,0,0,0
162.612,0,0,0
119.713,0,0,0
75.6004,0,0,0
76.4842,0,0,0
162.527,0,0,0
85.0911,0,0,0
73.8672,0,0,0
85.1758,0,0,0
83.7522,0,0,0
101.901,0,0,0
108.607,0,0,0
83.5342,0,0,0
93.0808,0,0,0
95.3799,0,0,0
90.3428,0,0,0
1018.13,0,0,0
112.807,0,0,0
98.614,0,0,0
168.15,0,0,0
96.8671,0,0,0
118.709,0,0,0
75.5837,0,0,0
77.994,0,0,0
98.6209,0,0,0
88.9029,0,0,0
89.2462,0,0,0
92.3381,0,0,0
100.406,0,0,0
118.013,0,0,0
94.7408,0,0,0
121.687,0,0,0
81.3667,0,0,0
91.9877,0,0,0
