EnergyDepositedInSi, SourceZ, SiAngleOffAxis, AbsorberThickness
299.184,0,0,0
293.864,0,0,0
299.126,0,0,0
132.277,0,0,0
298.639,0,0,0
298.882,0,0,0
299.125,0,0,0
297.27,0,0,0
298.35,0,0,0
298.878,0,0,0
298.796,0,0,0
296.806,0,0,0
298.543,0,0,0
299.066,0,0,0
297.911,0,0,0
296.983,0,0,0
62.2228,0,0,0
298.435,0,0,0
161.402,0,0,0
298.724,0,0,0
296.199,0,0,0
298.978,0,0,0
256.475,0,0,0
297.034,0,0,0
299.379,0,0,0
298.553,0,0,0
298.88,0,0,0
144.269,0,0,0
298.963,0,0,0
69.328,0,0,0
298.971,0,0,0
298.435,0,0,0
298.825,0,0,0
215.944,0,0,0
294.697,0,0,0
298.201,0,0,0
298.973,0,0,0
299.095,0,0,0
298.858,0,0,0
297.691,0,0,0
83.4142,0,0,0
298.007,0,0,0
297.231,0,0,0
298.384,0,0,0
298.019,0,0,0
286.878,0,0,0
298.531,0,0,0
298.94,0,0,0
297.567,0,0,0
292.266,0,0,0
298.631,0,0,0
298.824,0,0,0
147.624,0,0,0
298.058,0,0,0
298.718,0,0,0
298.173,0,0,0
297.544,0,0,0
296.824,0,0,0
296.961,0,0,0
298.826,0,0,0
298.272,0,0,0
296.538,0,0,0
298.795,0,0,0
298.193,0,0,0
170.923,0,0,0
298.112,0,0,0
298.757,0,0,0
174.41,0,0,0
298.358,0,0,0
299.042,0,0,0
298.957,0,0,0
153.923,0,0,0
298.808,0,0,0
238.049,0,0,0
296.132,0,0,0
298.708,0,0,0
297.293,0,0,0
296.534,0,0,0
297.313,0,0,0
138.769,0,0,0
297.438,0,0,0
147.335,0,0,0
296.309,0,0,0
298.149,0,0,0
298.992,0,0,0
76.5163,0,0,0
208.186,0,0,0
182.204,0,0,0
217.054,0,0,0
297.04,0,0,0
299.142,0,0,0
298.431,0,0,0
297.019,0,0,0
286.352,0,0,0
297.454,0,0,0
206.647,0,0,0
298.567,0,0,0
299.068,0,0,0
299.253,0,0,0
298.288,0,0,0
298.398,0,0,0
298.21,0,0,0
298.296,0,0,0
296.35,0,0,0
298.231,0,0,0
291.899,0,0,0
299.342,0,0,0
139.066,0,0,0
123.665,0,0,0
296.888,0,0,0
299.048,0,0,0
299.042,0,0,0
298.962,0,0,0
298.129,0,0,0
297.907,0,0,0
297.192,0,0,0
29.5375,0,0,0
95.3663,0,0,0
297.434,0,0,0
297.93,0,0,0
298.108,0,0,0
216.825,0,0,0
298.681,0,0,0
135.643,0,0,0
299.073,0,0,0
298.56,0,0,0
298.667,0,0,0
296.456,0,0,0
297.989,0,0,0
297.135,0,0,0
133.403,0,0,0
299.14,0,0,0
299.34,0,0,0
294.472,0,0,0
288.245,0,0,0
296.319,0,0,0
112.183,0,0,0
299.059,0,0,0
297.621,0,0,0
297.503,0,0,0
296.814,0,0,0
42.234,0,0,0
291.81,0,0,0
298.879,0,0,0
297.67,0,0,0
298.31,0,0,0
