EnergyDepositedInSi, SourceZ, SiAngleOffAxis, AbsorberThickness
45.1963,0,0,0
30.1544,0,0,0
17.7303,0,0,0
108.623,0,0,0
34.1194,0,0,0
77.7253,0,0,0
118.12,0,0,0
20.6758,0,0,0
24.1406,0,0,0
7.48763,0,0,0
15.7601,0,0,0
27.362,0,0,0
136.126,0,0,0
77.3915,0,0,0
42.6265,0,0,0
2.29036,0,0,0
122.741,0,0,0
73.2493,0,0,0
133.389,0,0,0
119.815,0,0,0
46.1753,0,0,0
47.3093,0,0,0
109.516,0,0,0
95.3241,0,0,0
156.502,0,0,0
1.08234,0,0,0
46.1734,0,0,0
98.9016,0,0,0
117.927,0,0,0
2.45257,0,0,0
22.9217,0,0,0
71.1267,0,0,0
147.613,0,0,0
159.691,0,0,0
92.7209,0,0,0
18.3737,0,0,0
30.6362,0,0,0
131.424,0,0,0
51.3629,0,0,0
82.3739,0,0,0
59.6546,0,0,0
119.894,0,0,0
66.7672,0,0,0
142.037,0,0,0
131.455,0,0,0
24.7992,0,0,0
100.863,0,0,0
158.287,0,0,0
0.401577,0,0,0
152.802,0,0,0
10.4691,0,0,0
75.1599,0,0,0
33.7909,0,0,0
3.70079,0,0,0
0.560878,0,0,0
156.954,0,0,0
2.16182,0,0,0
86.3208,0,0,0
104.261,0,0,0
62.4729,0,0,0
21.5353,0,0,0
37.0379,0,0,0
34.0171,0,0,0
37.8075,0,0,0
67.7912,0,0,0
54.043,0,0,0
