EnergyDepositedInSi, SourceZ, SiAngleOffAxis, AbsorberThickness
60,0,0,0
4.33169,0,0,0
60,0,0,0
60,0,0,0
60,0,0,0
3.82136,0,0,0
60,0,0,0
2.74943,0,0,0
60,0,0,0
60,0,0,0
7.03744,0,0,0
8.93458,0,0,0
1.23026,0,0,0
8.74828,0,0,0
11.275,0,0,0
7.31125,0,0,0
60,0,0,0
60,0,0,0
6.11272,0,0,0
6.99137,0,0,0
60,0,0,0
11.2503,0,0,0
0.366847,0,0,0
60,0,0,0
6.14255,0,0,0
60,0,0,0
2.86825,0,0,0
60,0,0,0
6.45025,0,0,0
60,0,0,0
9.87846,0,0,0
1.1593,0,0,0
60,0,0,0
4.99506,0,0,0
60,0,0,0
60,0,0,0
60,0,0,0
2.5173,0,0,0
60,0,0,0
60,0,0,0
2.19391,0,0,0
60,0,0,0
3.59438,0,0,0
60,0,0,0
60,0,0,0
0.384498,0,0,0
60,0,0,0
9.96879,0,0,0
60,0,0,0
0.782193,0,0,0
8.95715,0,0,0
60,0,0,0
60,0,0,0
60,0,0,0
8.22583,0,0,0
3.30985,0,0,0
8.06393,0,0,0
60,0,0,0
60,0,0,0
10.6929,0,0,0
13.2894,0,0,0
6.91978,0,0,0
60,0,0,0
10.9767,0,0,0
11.0912,0,0,0
60,0,0,0
7.43507,0,0,0
60,0,0,0
60,0,0,0
60,0,0,0
9.73243,0,0,0
60,0,0,0
60,0,0,0
60,0,0,0
10.9366,0,0,0
5.05762,0,0,0
7.89164,0,0,0
1.32229,0,0,0
60,0,0,0
60,0,0,0
60,0,0,0
60,0,0,0
60,0,0,0
60,0,0,0
4.94707,0,0,0
10.7954,0,0,0
60,0,0,0
60,0,0,0
10.1947,0,0,0
60,0,0,0
60,0,0,0
60,0,0,0
11.3903,0,0,0
60,0,0,0
60,0,0,0
4.54409,0,0,0
60,0,0,0
3.65266,0,0,0
8.31843,0,0,0
60,0,0,0
0.285969,0,0,0
60,0,0,0
3.71242,0,0,0
11.083,0,0,0
0.650674,0,0,0
60,0,0,0
60,0,0,0
7.25058,0,0,0
60,0,0,0
60,0,0,0
60,0,0,0
2.78947,0,0,0
6.07637,0,0,0
60,0,0,0
6.84227,0,0,0
5.11738,0,0,0
8.4288,0,0,0
60,0,0,0
0.134071,0,0,0
10.3773,0,0,0
4.892,0,0,0
8.47613,0,0,0
4.22836,0,0,0
60,0,0,0
60,0,0,0
60,0,0,0
2.4766,0,0,0
5.85903,0,0,0
60,0,0,0
2.40725,0,0,0
8.84791,0,0,0
6.07314,0,0,0
2.68068,0,0,0
5.78978,0,0,0
60,0,0,0
60,0,0,0
3.03085,0,0,0
60,0,0,0
1.16745,0,0,0
60,0,0,0
7.82405,0,0,0
60,0,0,0
60,0,0,0
9.57782,0,0,0
60,0,0,0
5.77239,0,0,0
1.21575,0,0,0
8.7726,0,0,0
0.952366,0,0,0
0.165339,0,0,0
9.26636,0,0,0
5.57717,0,0,0
5.37122,0,0,0
5.60574,0,0,0
60,0,0,0
0.795335,0,0,0
10.9787,0,0,0
0.414332,0,0,0
60,0,0,0
28.8236,0,0,0
60,0,0,0
7.91699,0,0,0
60,0,0,0
9.24411,0,0,0
3.53398,0,0,0
60,0,0,0
60,0,0,0
1.82991,0,0,0
60,0,0,0
9.87331,0,0,0
60,0,0,0
10.9121,0,0,0
60,0,0,0
4.89299,0,0,0
8.16603,0,0,0
60,0,0,0
7.06353,0,0,0
1.57796,0,0,0
