Interval between events (microseconds) - histogram count	Number of counts - histogram count	
9	942	
27	995	
45	926	
63	804	
81	734	
99	670	
117	624	
135	528	
153	498	
171	463	
189	381	
207	370	
225	354	
243	291	
261	286	
279	248	
297	239	
315	219	
333	214	
351	173	
369	146	
387	153	
405	128	
423	112	
441	116	
459	95	
477	87	
495	88	
513	82	
531	69	
549	40	
567	43	
585	48	
603	41	
621	32	
639	30	
657	28	
675	27	
693	41	
711	21	
729	27	
747	14	
765	18	
783	14	
801	8	
819	17	
837	10	
855	8	
873	8	
891	9	
909	9	
927	10	
945	8	
963	2	
981	2	
