Interval between events (microseconds) - histogram count	Number of counts - histogram count	
9	903	
27	1002	
45	882	
63	866	
81	739	
99	707	
117	631	
135	561	
153	544	
171	453	
189	420	
207	371	
225	336	
243	313	
261	254	
279	258	
297	230	
315	204	
333	191	
351	181	
369	154	
387	150	
405	136	
423	118	
441	100	
459	87	
477	88	
495	85	
513	66	
531	55	
549	63	
567	43	
585	46	
603	54	
621	20	
639	34	
657	22	
675	23	
693	31	
711	23	
729	19	
747	10	
765	23	
783	16	
801	10	
819	11	
837	5	
855	10	
873	17	
891	8	
909	11	
927	6	
945	4	
963	8	
981	5	
