EnergyDepositedInSi, SourceZ, SiAngleOffAxis, AbsorberThickness
303.054,-40,0,0
87.6204,-40,0,0
116.142,-40,0,0
162.898,-40,0,0
119.122,-40,0,0
545.885,-40,0,0
177.824,-40,0,0
153.853,-40,0,0
50.4679,-40,0,0
21.7264,-40,0,0
127.519,-40,0,0
99.273,-40,0,0
248.28,-40,0,0
101.458,-40,0,0
546.998,-40,0,0
262.106,-40,0,0
91.9834,-40,0,0
340.305,-40,0,0
259.435,-40,0,0
99.5624,-40,0,0
89.0027,-40,0,0
230.809,-40,0,0
221.664,-40,0,0
462.106,-40,0,0
88.5715,-40,0,0
137.195,-40,0,0
155.016,-40,0,0
91.9524,-40,0,0
116.514,-40,0,0
204.874,-40,0,0
92.3107,-40,0,0
12.4276,-40,0,0
199.496,-40,0,0
168.864,-40,0,0
164.634,-40,0,0
132.971,-40,0,0
54.7518,-40,0,0
94.2081,-40,0,0
214.593,-40,0,0
255.79,-40,0,0
176.947,-40,0,0
99.8148,-40,0,0
123.98,-40,0,0
86.623,-40,0,0
145.578,-40,0,0
4.57272,-40,0,0
102.229,-40,0,0
113.383,-40,0,0
92.7569,-40,0,0
85.2693,-40,0,0
184.513,-40,0,0
112.075,-40,0,0
353.59,-40,0,0
101.103,-40,0,0
100.04,-40,0,0
146.739,-40,0,0
127.655,-40,0,0
167.645,-40,0,0
215.03,-40,0,0
123.306,-40,0,0
92.9791,-40,0,0
118.019,-40,0,0
372.394,-40,0,0
169.638,-40,0,0
329.977,-40,0,0
113.124,-40,0,0
292.365,-40,0,0
355.395,-40,0,0
74.4862,-40,0,0
108.033,-40,0,0
108.46,-40,0,0
118.697,-40,0,0
