EnergyDepositedInSi, SourceZ, SiAngleOffAxis, AbsorberThickness
60,0,0,0
2.00778,0,0,0
60,0,0,0
1.42796,0,0,0
60,0,0,0
10.3597,0,0,0
7.47992,0,0,0
60,0,0,0
8.19816,0,0,0
60,0,0,0
0.234337,0,0,0
2.1581,0,0,0
60,0,0,0
60,0,0,0
60,0,0,0
2.41423,0,0,0
4.57621,0,0,0
1.33226,0,0,0
5.22335,0,0,0
60,0,0,0
8.73426,0,0,0
60,0,0,0
60,0,0,0
10.3951,0,0,0
60,0,0,0
5.12782,0,0,0
1.09713,0,0,0
60,0,0,0
60,0,0,0
1.31939,0,0,0
60,0,0,0
60,0,0,0
9.59267,0,0,0
0.873835,0,0,0
5.99416,0,0,0
60,0,0,0
2.37453,0,0,0
0.860557,0,0,0
60,0,0,0
60,0,0,0
60,0,0,0
60,0,0,0
3.11783,0,0,0
9.80506,0,0,0
3.62056,0,0,0
10.9524,0,0,0
1.19559,0,0,0
7.03966,0,0,0
8.95114,0,0,0
60,0,0,0
9.56948,0,0,0
3.62159,0,0,0
3.54658,0,0,0
60,0,0,0
9.72066,0,0,0
60,0,0,0
60,0,0,0
2.53522,0,0,0
60,0,0,0
60,0,0,0
60,0,0,0
60,0,0,0
60,0,0,0
60,0,0,0
10.8562,0,0,0
3.09134,0,0,0
60,0,0,0
4.01795,0,0,0
7.40321,0,0,0
60,0,0,0
4.81556,0,0,0
0.925112,0,0,0
60,0,0,0
60,0,0,0
60,0,0,0
60,0,0,0
0.598612,0,0,0
10.4372,0,0,0
60,0,0,0
60,0,0,0
60,0,0,0
3.48759,0,0,0
8.19069,0,0,0
60,0,0,0
60,0,0,0
5.17608,0,0,0
60,0,0,0
60,0,0,0
60,0,0,0
60,0,0,0
0.836206,0,0,0
1.10371,0,0,0
4.62548,0,0,0
3.01142,0,0,0
0.673946,0,0,0
0.902682,0,0,0
60,0,0,0
60,0,0,0
5.70507,0,0,0
0.830644,0,0,0
3.35613,0,0,0
60,0,0,0
60,0,0,0
60,0,0,0
1.4186,0,0,0
4.19368,0,0,0
1.76931,0,0,0
8.24326,0,0,0
60,0,0,0
13.7774,0,0,0
0.744415,0,0,0
1.01384,0,0,0
2.55059,0,0,0
2.46334,0,0,0
60,0,0,0
27.9327,0,0,0
60,0,0,0
2.88783,0,0,0
10.8476,0,0,0
0.252433,0,0,0
6.67691,0,0,0
4.26552,0,0,0
60,0,0,0
60,0,0,0
5.68343,0,0,0
5.08905,0,0,0
60,0,0,0
60,0,0,0
60,0,0,0
6.6293,0,0,0
60,0,0,0
9.8052,0,0,0
60,0,0,0
3.97712,0,0,0
8.11709,0,0,0
60,0,0,0
60,0,0,0
60,0,0,0
60,0,0,0
2.83207,0,0,0
60,0,0,0
3.22554,0,0,0
7.33012,0,0,0
60,0,0,0
10.7123,0,0,0
60,0,0,0
60,0,0,0
9.22505,0,0,0
8.05933,0,0,0
9.20779,0,0,0
60,0,0,0
60,0,0,0
1.49441,0,0,0
60,0,0,0
60,0,0,0
60,0,0,0
10.1069,0,0,0
10.1218,0,0,0
15.6234,0,0,0
7.03539,0,0,0
8.79799,0,0,0
60,0,0,0
10.4769,0,0,0
3.18294,0,0,0
8.96397,0,0,0
0.45788,0,0,0
4.93558,0,0,0
7.31937,0,0,0
9.96667,0,0,0
60,0,0,0
8.16389,0,0,0
60,0,0,0
15.8208,0,0,0
60,0,0,0
0.187603,0,0,0
60,0,0,0
60,0,0,0
10.6812,0,0,0
